day,diamond,diamond_earned_total,diamond_spent_total,stamina,exp_small,exp_medium,exp_large,fragment_universal,fragment_ssr,skill_book,gold_outer,summon_ticket,hero_level,hero_star,chapter,total_stages,stages_today,gacha_total,bp_level,rmb_total
1,322,322,0,336,3,0,0,0,0,0,5725,0,6,1,2,6,6,0,2,0
2,446,446,0,336,3,0,0,0,0,0,10685,0,7,1,3,12,6,0,2,0
3,574,574,0,336,1,0,0,0,0,0,16060,0,9,1,4,18,6,0,3,0
4,706,706,0,336,1,0,0,0,0,0,22310,0,10,1,5,24,6,0,4,0
5,828,828,0,348,1,0,0,0,0,0,26960,0,11,1,6,28,4,0,4,0
6,987,987,0,330,0,3,0,0,0,0,32635,0,15,1,7,34,6,0,5,0
7,1121,1121,0,330,0,0,0,0,0,0,39135,2,17,1,9,40,6,0,8,0
8,1259,1259,0,330,7,0,0,0,0,1,47235,2,17,1,10,46,6,0,8,0
9,1397,1397,0,344,4,0,0,0,0,1,53035,2,18,1,11,50,4,0,9,0
10,1531,1531,0,324,10,0,0,0,0,1,62135,2,18,1,12,56,6,0,9,0
11,1665,1665,0,324,0,0,0,0,0,1,69935,2,20,1,13,62,6,0,9,0
12,1849,1849,0,324,5,0,2,0,0,1,79485,3,20,1,14,68,6,0,10,0
13,2007,2007,0,324,0,0,0,0,0,3,86585,3,24,1,15,74,6,0,10,0
14,1385,2135,750,340,0,0,0,0,0,3,93085,0,25,1,16,78,4,10,12,0
15,1518,2268,750,324,6,0,0,0,0,3,103985,0,25,1,17,84,6,10,12,0
16,1651,2401,750,324,0,0,0,0,0,3,113735,0,26,1,19,90,6,10,13,0
17,1790,2540,750,324,5,0,0,1,0,3,125735,0,26,1,20,96,6,10,13,0
18,1938,2688,750,340,0,0,0,5,0,3,134185,0,27,1,21,100,4,10,13,0
19,2068,2818,750,327,0,0,0,5,0,3,143985,0,28,1,22,105,5,10,14,0
20,2198,2948,750,327,7,1,0,5,0,3,155485,0,28,1,23,110,5,10,14,0
21,2352,3102,750,327,11,5,0,5,0,3,166985,2,28,1,24,115,5,10,16,0
22,2481,3231,750,327,0,7,0,5,0,3,176635,2,29,1,25,120,5,10,16,0
23,2638,3388,750,336,0,3,0,9,0,3,186635,2,30,1,25,124,4,10,16,0
24,2771,3521,750,336,9,5,0,10,0,5,198635,2,30,1,26,128,4,10,16,0
25,2903,3653,750,322,0,1,1,10,0,6,211135,2,31,1,27,133,5,10,17,0
26,3035,3785,750,322,7,3,1,10,0,8,225885,2,31,1,28,138,5,10,17,0
27,3166,3916,750,322,0,0,0,10,0,8,238135,2,32,1,29,143,5,10,17,0
28,2442,4092,1650,322,7,2,0,16,0,14,255135,0,32,1,30,148,5,20,18,0
29,2578,4228,1650,352,12,3,1,20,0,14,263135,0,32,1,31,150,2,20,19,0
30,2668,4318,1650,222,0,2,1,20,0,14,287635,0,33,1,31,150,15,20,19,0
