day,diamond,diamond_earned_total,diamond_spent_total,stamina,exp_small,exp_medium,exp_large,fragment_universal,fragment_ssr,skill_book,gold_outer,summon_ticket,hero_level,hero_star,chapter,total_stages,stages_today,gacha_total,bp_level,rmb_total
1,1230,1230,0,324,2,0,0,0,30,0,6865,3,7,1,2,8,8,0,2,36
2,1466,1466,0,324,0,0,0,0,30,0,13360,3,9,1,4,16,8,0,2,36
3,1708,1708,0,324,2,0,0,0,30,0,21310,3,10,1,5,24,8,0,3,36
4,1942,1942,0,336,1,0,0,0,30,0,27960,3,11,1,7,30,6,0,4,36
5,2188,2188,0,316,0,0,0,0,30,0,36835,3,13,1,8,38,8,0,4,36
6,2463,2463,0,316,0,3,0,0,30,0,46735,3,14,1,10,46,8,0,5,36
7,2713,2713,0,330,0,0,0,0,30,0,54335,5,17,1,11,52,6,0,8,36
8,2959,2959,0,308,5,0,0,0,30,0,65535,5,18,1,13,60,8,0,8,36
9,3205,3205,0,308,10,0,0,0,30,0,77885,5,18,1,14,68,8,0,9,36
10,2731,3481,750,308,5,0,0,0,30,2,91785,0,19,1,16,76,8,10,9,36
11,2977,3727,750,308,0,0,0,0,30,2,105235,0,20,1,17,84,8,10,9,36
12,3273,4023,750,308,0,0,2,0,30,2,117035,1,23,1,19,92,8,10,10,36
13,3554,4304,750,308,0,0,0,5,30,4,130735,1,26,1,21,100,8,10,10,36
14,3801,4551,750,309,0,0,1,5,30,4,144885,3,27,1,22,107,7,10,12,36
15,4047,4797,750,309,0,0,1,5,30,4,158885,3,28,1,23,114,7,10,12,36
16,4302,5052,750,309,8,1,1,6,30,4,175235,3,28,1,25,121,7,10,13,36
17,4578,5328,750,318,0,0,1,10,30,5,190885,3,29,1,26,127,6,10,13,36
18,4830,5580,750,302,0,0,1,10,30,7,209135,3,30,1,27,134,7,10,13,36
19,5081,5831,750,302,0,0,0,10,30,10,227135,3,31,1,29,141,7,10,14,36
20,4327,6127,1800,302,9,2,0,16,30,13,249635,0,31,1,30,148,7,20,14,36
21,4592,6392,1800,352,14,5,0,20,30,19,257635,2,31,1,31,150,2,20,16,36
22,4786,6586,1800,222,0,5,1,20,30,19,282385,2,32,1,31,150,15,20,16,36
23,4979,6779,1800,222,0,0,0,20,30,19,303885,2,34,1,31,150,15,20,16,36
24,5172,6972,1800,222,15,1,2,20,30,19,331135,2,34,1,31,150,15,20,16,36
25,5364,7164,1800,222,0,0,2,20,30,19,355135,2,35,1,31,150,15,20,17,36
26,5556,7356,1800,222,0,0,1,20,30,19,378885,2,36,1,31,150,15,20,17,36
27,5747,7547,1800,222,0,0,0,20,30,19,402385,2,37,1,31,150,15,20,17,36
28,5938,7738,1800,222,19,2,1,20,30,19,429635,4,37,1,31,150,15,20,18,36
29,6128,7928,1800,222,0,0,0,20,30,19,452885,4,38,1,31,150,15,20,19,36
30,5418,8118,2700,222,15,4,1,20,30,19,480135,0,38,1,31,150,15,30,19,36
